Eil. Nr.,Stotis[name],NaudojamasPINN[pinn],Data,Vandens lygiscm.,Vandens debitasm3.,VandenstemperatūraºC
24,Birvėta - Lazinkų VMS,5229,2024-11-12 09:00:00,107.7,,4.6
25,Daugyvenė - Rimšonių VMS,5722,2024-11-12 10:00:00,80.9,,4.9
26,Daugyvenė - Rimšonių VMS,5722,2024-11-12 09:00:00,80.9,,4.9
27,Dysna - Kačergiškės VMS,5526,2024-11-12 10:00:00,109.4,,5.6
28,Dysna - Kačergiškės VMS,5526,2024-11-12 09:00:00,109.5,,5.6
29,Dubysa - Lyduvėnų VMS,5322,2024-11-12 09:00:00,99.2,3.23,4.7
30,Dubysa - Lyduvėnų VMS,5322,2024-11-12 10:00:00,99.0,3.20,4.7
31,Dubysa - Padubysio VMS,5326,2024-11-12 10:00:00,-2.2,0.00,5.6
32,Dubysa - Padubysio VMS,5326,2024-11-12 09:00:00,-2.2,0.00,5.6
33,Gėgė - Plaškių VMS,5923,2024-11-12 10:00:00,138.4,,5.5
34,Gėgė - Plaškių VMS,5923,2024-11-12 09:00:00,138.4,,5.5
35,Girutiškis - Rušiškių VMS,5723,2024-11-12 09:00:00,65.8,,4.5
36,Girutiškis - Rušiškių VMS,5723,2024-11-12 10:00:00,65.8,,4.5
37,Yslykis - Kyburių VMS,6422,2024-11-12 09:00:00,90.3,0.25,4.9
38,Jūra - Pajūrio VMS,5921,2024-11-12 09:00:00,108.8,,6.3
39,Jūra - Pajūrio VMS,5921,2024-11-12 10:00:00,108.7,,6.3
40,Jūra - Tauragės VMS,5227,2024-11-12 09:00:00,105.7,11.67,5.9
41,Jūra - Tauragės VMS,5227,2024-11-12 10:00:00,105.7,11.67,5.9
42,Katra - Paramėlio VMS,5429,2024-11-12 10:00:00,2.0,,2.6
43,Katra - Paramėlio VMS,5429,2024-11-12 09:00:00,2.0,,2.5
44,Klaipėdos jūrų uosto VMS – Baltijos jūra,5720,2024-11-12 10:00:00,500.9,,6.5
45,Klaipėdos jūrų uosto VMS – Baltijos jūra,5720,2024-11-12 09:00:00,501.3,,6.6
46,Klaipėdos kanalas - Lankupių VMS,5129,2024-11-12 09:00:00,504.2,,5.8
47,Klaipėdos kanalas - Lankupių VMS,5129,2024-11-12 10:00:00,504.0,,5.8
48,Kražantė - Pluskių VMS,5222,2024-11-12 09:00:00,-0.1,0.62,7.9
49,Kražantė - Pluskių VMS,5222,2024-11-12 10:00:00,-0.3,0.62,7.9
50,Kuršių marios - Juodkrantės VMS,5425,2024-11-12 10:00:00,509.2,,6.2
51,Kuršių marios - Juodkrantės VMS,5425,2024-11-12 09:00:00,508.8,,6.2
52,Leitė - Kūlynų VMS,5428,2024-11-12 10:00:00,129.4,,7.5
53,Leitė - Kūlynų VMS,5428,2024-11-12 09:00:00,129.5,,7.5
54,Lėvuo - Bernatonių VMS,5423,2024-11-12 10:00:00,-16.3,0.00,5.0
55,Lėvuo - Bernatonių VMS,5423,2024-11-12 09:00:00,-16.3,0.00,5.0
56,Lėvuo - Kupiškio VMS,5628,2024-11-12 09:00:00,90.5,,6.1
57,Lėvuo - Kupiškio VMS,5628,2024-11-12 10:00:00,90.5,,6.1
58,Mera-Kūna - Pažeimenės VMS,5524,2024-11-12 10:00:00,51.6,,5.6
59,Mera-Kūna - Pažeimenės VMS,5524,2024-11-12 09:00:00,51.6,,5.6
60,Merkys - Jašiūnų VMS,5622,2024-11-12 10:00:00,59.9,,13.1
61,Merkys - Jašiūnų VMS,5622,2024-11-12 09:00:00,59.9,,13.1
62,Merkys - Puvočių VMS,4428,2024-11-12 09:00:00,114.8,26.44,7.2
63,Merkys - Puvočių VMS,4428,2024-11-12 10:00:00,114.8,26.44,7.2
64,Minija - Kartenos VMS,5121,2024-11-12 10:00:00,92.0,6.06,5.3
65,Minija - Kartenos VMS,5121,2024-11-12 09:00:00,92.0,6.06,5.3
66,Minija - Lankupių VMS,5123,2024-11-12 10:00:00,505.5,20.00,5.6
67,Minija - Lankupių VMS,5123,2024-11-12 09:00:00,505.7,20.04,5.5
68,Minija - Priekulės VMS,5926,2024-11-12 10:00:00,126.5,,5.3
69,Minija - Priekulės VMS,5926,2024-11-12 09:00:00,126.8,,5.3
70,Mituva - Žindaičių VMS,5224,2024-11-12 09:00:00,18.6,,7.6
71,Mituva - Žindaičių VMS,5224,2024-11-12 10:00:00,18.6,,7.5
72,Musteika - Musteikos VMS,5324,2024-11-12 09:00:00,45.7,,4.4
73,Musteika - Musteikos VMS,5324,2024-11-12 10:00:00,46.5,,4.4
74,Mūša - Ustukių VMS,6424,2024-11-12 10:00:00,29.8,3.10,5.2
75,Mūša - Ustukių VMS,6424,2024-11-12 09:00:00,29.7,3.09,5.1
76,Mūša - Žilpamūšio VMS,5725,2024-11-12 09:00:00,57.7,,6.8
77,Mūša - Žilpamūšio VMS,5725,2024-11-12 10:00:00,57.5,,6.8
78,Nemunas - Birštono VMS,4424,2024-11-12 09:00:00,502.6,,5.8
79,Nemunas - Birštono VMS,4424,2024-11-12 10:00:00,502.1,,5.8
80,Nemunas - Darsūniškio VMS,4421,2024-11-12 10:00:00,493.8,,4.7
81,Nemunas - Darsūniškio VMS,4421,2024-11-12 09:00:00,495.5,,4.8
82,Nemunas - Druskininkų VMS,4323,2024-11-12 09:00:00,8.8,107.31,5.5
83,Nemunas - Druskininkų VMS,4323,2024-11-12 10:00:00,8.6,107.08,5.5
84,Nemunas - Kauno VMS,4324,2024-11-12 09:00:00,103.0,,8.0
85,Nemunas - Kauno VMS,4324,2024-11-12 10:00:00,122.5,,8.0
86,Nemunas - Lampėdžių VMS,5721,2024-11-12 10:00:00,-81.9,0.00,6.8
87,Nemunas - Lampėdžių VMS,5721,2024-11-12 09:00:00,-86.3,0.00,6.9
88,Nemunas - Lazdėnų VMS,5626,2024-11-12 09:00:00,141.7,,
89,Nemunas - Nemajūnų VMS,4426,2024-11-12 10:00:00,16.7,138.17,5.7
90,Nemunas - Nemajūnų VMS,4426,2024-11-12 09:00:00,16.8,138.31,5.7
91,Nemunas - Panemunės VMS,5226,2024-11-12 10:00:00,97.6,,6.7
92,Nemunas - Panemunės VMS,5226,2024-11-12 09:00:00,96.7,,6.7
93,Nemunas - Smalininkų VMS,5225,2024-11-12 09:00:00,78.9,260.27,
94,Nemunas - Smalininkų VMS,5225,2024-11-12 10:00:00,79.2,260.78,
95,Nemunas - Šilininkų VMS,5126,2024-11-12 10:00:00,85.3,,7.4
96,Nemunas - Šilininkų VMS,5126,2024-11-12 09:00:00,85.3,,7.3
97,Nemunėlis - Kvetkų VMS,5629,2024-11-12 10:00:00,54.0,,5.0
98,Nemunėlis - Kvetkų VMS,5629,2024-11-12 09:00:00,54.1,,5.0
99,Nemunėlis - Tabokinės VMS,6421,2024-11-12 09:00:00,44.1,8.60,5.0
100,Nemunėlis - Tabokinės VMS,6421,2024-11-12 10:00:00,42.1,7.96,5.0
101,Neris - Buivydžių VMS,4522,2024-11-12 10:00:00,225.1,58.79,5.4
102,Neris - Buivydžių VMS,4522,2024-11-12 09:00:00,224.8,58.61,5.4
103,Neris - Jonavos VMS,5421,2024-11-12 09:00:00,31.3,105.42,
104,Neris - Jonavos VMS,5421,2024-11-12 10:00:00,31.4,105.56,
105,Neris - Vilniaus VMS,4523,2024-11-12 09:00:00,241.6,80.67,10.2
106,Neris - Vilniaus VMS,4523,2024-11-12 10:00:00,241.4,80.48,10.1
107,Nevėžis - Babtų VMS,5323,2024-11-12 09:00:00,119.8,6.76,5.5
108,Nevėžis - Babtų VMS,5323,2024-11-12 10:00:00,122.8,7.17,5.5
109,Nevėžis - Panevėžio VMS,5426,2024-11-12 09:00:00,14.6,1.10,7.8
110,Nevėžis - Panevėžio VMS,5426,2024-11-12 10:00:00,14.5,1.10,7.8
111,Nevėžis - Traupio VMS,5623,2024-11-12 10:00:00,62.4,,7.1
112,Nevėžis - Traupio VMS,5623,2024-11-12 09:00:00,62.4,,7.1
113,Paršežeris - Požerio VMS,5924,2024-11-12 10:00:00,66.9,,4.6
114,Paršežeris - Požerio VMS,5924,2024-11-12 09:00:00,66.8,,4.5
115,Pyvesa- Žadeikių VMS,5625,2024-11-12 09:00:00,74.3,,5.1
116,Pyvesa- Žadeikių VMS,5625,2024-11-12 10:00:00,74.3,,5.1
117,Platonis - Vaineikių VMS,5525,2024-11-12 10:00:00,148.3,,6.1
118,Platonis - Vaineikių VMS,5525,2024-11-12 09:00:00,148.5,,6.1
119,Sanžilės kanalas - Bernatonių VMS,5523,2024-11-12 09:00:00,-23.6,0.00,5.0
